Figure 1. March and September Monthly Average Arctic Sea Ice Extent, 1979-2020,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,
Data source: NSIDC, 2020,,
Web update: April 2021,,
Units: Square miles,,
,,
Year,March,September
1979,6.308909278,2.722020221
1980,6.19307863,2.96140356
1981,6.034776745,2.756769415
1982,6.19307863,2.818545761
1983,6.212383738,2.853294955
1984,6.015471637,2.629355703
1985,6.135163307,2.586884465
1986,6.14288535,2.861016998
1987,6.108136155,2.810823718
1988,6.162190458,2.845572912
1989,5.953695292,2.706576135
1990,6.127441263,2.370667256
1991,5.953695292,2.498080969
1992,5.976861421,2.884183128
1993,6.104275134,2.471053818
1994,6.003888572,2.756769415
1995,5.891918946,2.347501127
1996,5.837864644,2.926654365
1997,5.9730004,2.583023444
1998,6.02319368,2.52510812
1999,5.945973249,2.362945213
2000,5.87647486,2.413138494
2001,5.992305508,2.59846753
2002,5.926668141,2.250975587
2003,5.976861421,2.362945213
2004,5.787671363,2.308890911
2005,5.671840716,2.123561875
2006,5.567593133,2.262558652
2007,5.613925392,1.648656219
2008,5.861030774,1.810819126
2009,5.783810342,2.030897356
2010,5.845586687,1.880317514
2011,5.617786413,1.760625845
2012,5.868752817,1.378384708
2013,5.80311545,2.011592248
2014,5.698867867,2.01545327
2015,5.548288025,1.783791975
2016,5.55987109,1.74904278
2017,5.517399852,1.861012406
2018,5.521260874,1.849429342
2019,5.625508457,1.683405413
2020,5.70658991,1.513520463
2021,5.6525356,1.899623
